cfg_id,geom,N_o,d_max_m,d_short,d_long,d_int,N_total,B_max_m,sigma_th_mJy,sigma_c_mJy,sigma_total_mJy,n_det_low,MSL_dB,HPBW_arcmin,uv_reach_klam,f_det,f_sens,f_beam,f_uv,F_score,pareto
asym_sh500_lo9000_int500,asymmetric,4,9000,500,9000,500,16640,10483.65,9.71582423698808,0.10506425853246708,9.716392288419915,2,-4.279356656156672,248.76728538155194,0.26209125,0.9999999995,0.9967046472113348,0.847394543032161,0.9544777885148277,0.9496442445645807,False
asym_sh250_lo9000_int500,asymmetric,4,9000,250,9000,500,16640,10483.65,9.71582423698808,0.10506425853246708,9.716392288419915,2,-4.259949812094933,248.60456548535558,0.26209125,0.9999999995,0.9967046472113348,0.7879045931683831,0.9544777885148277,0.9347717570986365,False
asym_sh1000_lo9000_int500,asymmetric,4,9000,1000,9000,500,16640,10483.65,9.71582423698808,0.10506425853246708,9.716392288419915,2,-4.259682571711412,249.1063176060943,0.26209125,0.9999999995,0.9967046472113348,0.7870853916038902,0.9544777885148277,0.9345669567075132,False
asym_sh500_lo9000_int1000,asymmetric,4,9000,500,9000,1000,16640,10983.65,9.71582423698808,0.10028150150122213,9.71634174901173,2,-4.240539902576282,249.43649836311153,0.27459125,0.9999999995,1.0,0.7284052464198031,0.9999999963582232,0.9321013105695066,True
asym_sh500_lo8000_int500,asymmetric,4,8000,500,8000,500,16640,9483.65,9.71582423698808,0.11614272078407559,9.716518395785402,2,-4.271765882211116,248.50061391944791,0.23709125,0.9999999995,0.9884819894188711,0.8241257024101716,0.8634333728280366,0.9190102660392698,False
asym_sh1000_lo9000_int1000,asymmetric,4,9000,1000,9000,1000,16640,10983.65,9.71582423698808,0.10028150150122213,9.71634174901173,2,-4.221306254371642,249.76674516727206,0.27459125,0.9999999995,1.0,0.6694462130112016,0.9999999963582232,0.9173615522173562,True
asym_sh250_lo9000_int1000,asymmetric,4,9000,250,9000,1000,16640,10983.65,9.71582423698808,0.10028150150122213,9.71634174901173,2,-4.22114787170802,249.2578682089096,0.27459125,0.9999999995,1.0,0.6689607050796587,0.9999999963582232,0.9172401752344705,True
asym_sh250_lo8000_int500,asymmetric,4,8000,250,8000,500,16640,9483.65,9.71582423698808,0.11614272078407559,9.716518395785402,2,-4.252331900478758,248.33140705504218,0.23709125,0.9999999995,0.9884819894188711,0.7645525644371155,0.8634333728280366,0.9041169815460057,False
asym_sh1000_lo8000_int500,asymmetric,4,8000,1000,8000,500,16640,9483.65,9.71582423698808,0.11614272078407559,9.716518395785402,2,-4.252002496818759,248.83184352295646,0.23709125,0.9999999995,0.9884819894188711,0.7635428068919954,0.8634333728280366,0.9038645421597258,False
asym_sh500_lo8000_int1000,asymmetric,4,8000,500,8000,1000,16640,9983.65,9.71582423698808,0.11032607452824353,9.716450609495517,2,-4.233046761271221,249.15834872704403,0.24959125000000001,0.9999999995,0.9929019014722805,0.7054356899508492,0.9089555806714322,0.9018232928986405,False
